,date,Excitation Field Current,Excitation Field Voltage,Power Factor,Reactive Power,Generator Gross Capacity
116,2020-11-30 01:56:00,1285.537964,244.2262268,1.014280081,28.88100624,231.0369415
117,2020-11-30 01:57:00,1282.655762,243.4494324,1.014280081,28.33873367,230.5688019
118,2020-11-30 01:58:00,1281.624268,243.6799011,1.014280081,28.36261749,229.8235626
119,2020-11-30 01:59:00,1276.642944,242.7543182,1.014280081,27.7807045,229.4365845
120,2020-11-30 02:00:00,1274.988037,242.3147736,1.014280081,27.65808678,228.6623535
121,2020-11-30 02:01:00,1276.823853,242.3682098,1.014280081,27.72071648,229.3447266
122,2020-11-30 02:02:00,1275.527344,242.2265625,1.014280081,27.50225067,229.588089
123,2020-11-30 02:03:00,1275.527344,242.2265625,1.014280081,27.50225067,229.588089
124,2020-11-30 02:04:00,1275.527344,242.2265625,1.014280081,27.50225067,229.588089
125,2020-11-30 02:05:00,1275.527344,242.2265625,1.014280081,27.50225067,229.588089
126,2020-11-30 02:06:00,1275.527344,242.2265625,1.014280081,27.50225067,229.588089
127,2020-11-30 02:07:00,1275.527344,242.2265625,1.014280081,27.50225067,229.588089
128,2020-11-30 02:08:00,1275.527344,242.2265625,1.014280081,27.50225067,229.588089
129,2020-11-30 02:09:00,1275.527344,242.2265625,1.014280081,27.50225067,229.588089
130,2020-11-30 02:10:00,1275.527344,242.2265625,1.014280081,27.50225067,229.588089
131,2020-11-30 02:11:00,1275.527344,242.2265625,1.014280081,27.50225067,229.588089
132,2020-11-30 02:12:00,,,,,
133,2020-11-30 02:13:00,,,,,
134,2020-11-30 02:14:00,,,,,
135,2020-11-30 02:15:00,,,,,
136,2020-11-30 02:16:00,,,,,
137,2020-11-30 02:17:00,1272.871338,242.0795441,1.014280081,25.80002975,229.2183533
138,2020-11-30 02:18:00,1272.199951,241.2579041,1.014280081,25.78893471,229.1859741
139,2020-11-30 02:19:00,1269.590454,241.1536713,1.014280081,25.52441025,229.0446472
140,2020-11-30 02:20:00,1270.590454,241.0858307,1.014280081,25.38330269,229.7661591
141,2020-11-30 02:21:00,1269.694702,241.1806183,1.014280081,25.55096626,230.187439
142,2020-11-30 02:22:00,1267.653442,240.4139862,1.014280081,24.83584023,229.2792053
